Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,73.7,..,..,..,66.8,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,China,CHN,..,86.9,..,..,..,..,84.6,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,France,FRA,..,..,..,..,..,76.6,..,..,75,..,..,78.4,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Germany,DEU,..,..,..,..,..,68.4,..,..,50.4,..,..,80.3,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,India,IND,46.9,..,..,53,..,54.4,56.3,..,54.8,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Japan,JPN,55.9,..,..,..,52,54.3,..,..,..,..,..,..,..,..,54.7,39.8
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mexico,MEX,..,..,..,74.5,..,..,70.9,..,..,72.5,..,..,..,..,72.3,66.9
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Spain,ESP,..,..,..,..,..,..,65.7,..,..,70.1,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Russian Federation,RUS,..,..,..,..,68.5,..,..,63,..,..,..,68,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,37.5,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United Kingdom,GBR,87.7,80,83,84,84,82,82,..,84,..,..,76.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United States,USA,..,..,72.8,..,..,..,..,77.1,76.4,..,..,..,..,..,72.7,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Vietnam,VNM,74.2,73.9,78.5,75,75.7,76.9,75.7,79,79.4,..,78,77.8,76.2,77.2,75.7,75.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99,99.8,98.8
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bangladesh,BGD,11.6,12,..,13.9,12.8,..,20.1,18,..,24.4,26.5,27.4,..,36.5,42.1,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Canada,CAN,99.3,99.3,99.3,98.9,99,98.8,98.8,98.8,98.7,98.6,98.5,98.4,98.1,98,97.9,97.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,China,CHN,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,France,FRA,..,99.6,..,..,98,97.9,98.3,98.1,98,97.9,97.5,96.2,97.1,98.3,98.3,97.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,98.6,98.6,98.6,98.6,98.2,98.2,98.4,98.4,98.5,98.3,96.8,96.9,97,96.9,96.9,97.1
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,India,IND,42.5,..,..,..,..,..,45.5,..,52.3,..,..,..,..,..,81.4,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Japan,JPN,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,..,99.8,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kuwait,KWT,..,..,100,..,98.3,98.6,98.7,98.7,98.7,98.7,98.6,98.8,98.8,98.7,98.7,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mexico,MEX,88.6,88,88.9,89.6,90.3,91.1,93.4,92.7,93.3,95.3,94.5,95.3,99.6,96.1,95.6,97.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,New Zealand,NZL,97.3,96.6,99.2,98.2,94,96.6,96.8,96.7,96.7,96.7,96.8,96.7,96.8,96.7,96.7,96.3
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Singapore,SGP,99.7,99.6,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.7,99.7,99.7,99.7,99.6,99.7,99.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Russian Federation,RUS,99.2,99.3,99.3,99.4,99.4,99.4,99.5,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.7,99.7
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,100,100,..,99.9,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Arab Emirates,ARE,..,..,..,100,100,..,..,..,100,..,..,..,..,99.9,99.9,99.9
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United States,USA,99.4,99.4,99.5,99.3,99.3,99.4,99.4,99.3,99.3,99.3,99.4,99.3,99.3,99.2,98.5,99.1
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Vietnam,VNM,58.8,..,85,..,..,..,83.8,..,..,..,..,91.9,..,..,93.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,6.2,6.1,6,5.9,5.8,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,4,3.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bangladesh,BGD,86.1,81.1,76.6,72.3,68.3,64.5,61,57.7,54.7,51.8,49.2,46.7,44.4,42.1,40,38
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belgium,BEL,5.9,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,6.2,6.2,6.2,6.2,6.1,6.1,6,6,5.9,5.8,5.7,5.7,5.6,5.5,5.4,5.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,36.7,34.1,31.5,28.9,26.3,24,22,20.1,18.5,17.1,15.8,14.6,13.5,12.5,11.6,10.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,France,FRA,5.4,5.3,5.1,4.9,4.8,4.6,4.5,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4.1,4.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Germany,DEU,5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,4,3.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,India,IND,91.6,88,84.5,81.1,77.7,74.4,71.1,67.8,64.5,61.3,58.1,55,52,49.1,46.2,43.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Japan,JPN,4.5,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3,2.9,2.8,2.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kuwait,KWT,12.8,12.5,12.3,12.2,12,11.8,11.6,11.4,11.2,11,10.7,10.3,10,9.6,9.3,9.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mexico,MEX,28.3,27,25.9,24.8,23.8,22.9,22.1,21.3,20.5,19.8,19.2,18.5,17.9,17.3,16.8,16.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,New Zealand,NZL,7.4,7.2,7,6.9,6.7,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6,5.8,5.7,5.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Singapore,SGP,3.9,3.6,3.4,3.2,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Spain,ESP,5.4,5.3,5.1,5,4.9,4.7,4.5,4.4,4.2,4,3.8,3.7,3.6,3.5,3.4,3.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Russian Federation,RUS,19.4,18.4,17.3,16.1,15,13.9,12.8,12,11.3,10.7,10.4,10.2,9.9,9.5,8.9,8.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Qatar,QAT,12.5,12,11.6,11.2,10.8,10.4,10.1,9.8,9.6,9.4,9.2,8.9,8.7,8.4,8.1,7.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United Kingdom,GBR,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.5,4.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United Arab Emirates,ARE,11.1,10.9,10.6,10.3,10.1,9.8,9.6,9.4,9.2,8.9,8.7,8.4,8.2,8,7.8,7.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United States,USA,8.4,8.3,8.2,8.1,8.1,8,7.9,7.7,7.6,7.5,7.3,7.2,7.1,7,6.9,6.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Vietnam,VNM,30,28.7,27.6,26.7,25.8,25.1,24.5,24.1,23.7,23.3,23,22.8,22.6,22.3,22.1,21.9
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Australia,AUS,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Bangladesh,BGD,42.4,43.2,41,38.9,42.8,37.3,37.9,41.3,..,..,..,36.7,..,35.1,32.8,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,China,CHN,7.4,..,6.8,..,..,4.5,..,..,3.8,3.4,3.4,..,..,2.4,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Germany,DEU,..,..,..,..,1.1,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,India,IND,..,..,..,..,..,..,43.5,..,..,..,..,..,..,..,29.4,36.3
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Kuwait,KWT,..,2.2,2.1,2.3,2.8,2.7,2.7,2.9,2.3,1.7,1.7,2.1,2.2,3.1,3,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Mexico,MEX,..,..,..,..,..,..,3.4,..,..,..,..,..,2.8,..,..,3.9
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Singapore,SGP,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,United States,USA,1.1,..,0.8,..,1.3,..,0.7,..,0.7,..,1,..,0.5,..,0.7,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Vietnam,VNM,26.7,..,23.4,24.6,23.8,22.7,22.1,22.6,20.2,17.5,11.7,16.8,16.2,15.3,14.5,14.1
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Australia,AUS,91,92,94,94,94,94,94,94,94,94,94,94,94,94,94,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bangladesh,BGD,74,77,75,76,81,88,83,89,92,93,88,93,88,91,94,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belgium,BEL,82,82,82,82,82,88,92,92,93,95,95,95,96,96,96,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,96,95,95,95,94,94,93,94,93,91,90,88,89,90,90,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,China,CHN,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,France,FRA,84,85,86,87,88,87,89,90,89,89,89,89,91,90,91,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Germany,DEU,92,94,94,95,96,96,96,97,97,97,97,97,97,97,97,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,India,IND,56,57,56,60,64,68,69,70,72,78,82,84,83,83,85,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Japan,JPN,96,98,98,98,98,98,97,96,95,94,94,94,96,95,98,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kuwait,KWT,99,99,97,97,97,99,99,99,99,99,98,99,99,99,94,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mexico,MEX,96,95,96,96,96,96,96,96,96,96,95,98,99,89,97,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,New Zealand,NZL,85,85,84,84,83,82,82,79,86,89,91,93,92,92,93,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Singapore,SGP,96,95,94,93,95,96,95,95,95,95,95,95,95,95,95,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Spain,ESP,94,96,97,98,97,97,97,97,98,98,95,97,97,95,96,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Russian Federation,RUS,97,97,98,98,98,99,99,99,99,98,98,98,98,98,98,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Qatar,QAT,91,92,99,93,99,99,99,92,96,99,99,98,97,97,99,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United Kingdom,GBR,88,85,85,82,81,82,85,86,86,86,89,90,92,93,93,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United Arab Emirates,ARE,94,94,94,94,94,92,92,92,92,93,94,95,96,98,99,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United States,USA,91,91,91,93,93,92,92,92,92,90,92,92,91,92,92,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Vietnam,VNM,97,98,96,93,97,95,93,83,92,97,98,96,96,98,97,97
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bangladesh,BGD,..,..,..,..,..,66.32054901,..,..,59.02299118,65.45803833,67.83219147,112.357872,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Canada,CAN,97.81784058,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,China,CHN,..,..,..,..,..,..,91.6324234,93.34789276,99.27693939,98.29463196,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,France,FRA,92.93036652,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Germany,DEU,104.3469162,105.7957077,101.6701431,100.6812363,99.47026825,96.87963867,98.49680328,103.5369797,101.9790268,102.3837967,102.0153503,101.5668793,98.65313721,98.39868927,97.28270721,98.91829681
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,India,IND,71.48610687,72.16954041,75.56006622,80.04438019,..,..,..,..,94.75758362,95.74629211,..,92.76335907,..,96.20088959,97.57112122,97.71131897
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Kuwait,KWT,99.54678345,87.31302643,93.39803314,98.45880127,100.6279297,111.6905899,..,106.4244003,..,..,97.4594574,98.99492645,97.88350677,100,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Mexico,MEX,96.64557648,97.43399811,99.04663086,98.93366241,100.2950287,100.5736389,100.8881989,101.9606934,101.2903595,99.8245163,100.2393875,100.1975327,106.0110092,109.4250412,110.5088425,104.9098206
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Spain,ESP,..,..,..,..,102.3002625,..,96.65483856,97.13748169,97.29009247,97.47839355,96.78925323,96.15329742,99.32010651,99.21613312,100.1018982,103.3596802
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Russian Federation,RUS,90.436203,92.26701355,..,..,..,..,..,90.66230011,93.29714203,98.38200378,..,97.11335754,97.71768951,100.1080017,99.93402863,100.2978516
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Qatar,QAT,..,..,..,100.4290466,..,93.98362732,89.62711334,103.6759415,106.3818436,101.8712234,..,95.49075317,..,96.381073,91.95511627,92.64425659
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.010498
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,United Arab Emirates,ARE,80.28414154,76.57745361,80.73298645,..,..,..,..,97.45088959,..,..,..,..,93.94155884,95.68698883,99.14914703,103.5202026
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Vietnam,VNM,99.77178192,105.2023468,102.1941681,100.9092178,..,93.75769043,97.44434357,..,..,..,..,103.2278595,102.6396866,100.0165863,107.1828766,105.1644592
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,157.1676636
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bangladesh,BGD,49.76398849,51.03987122,52.19578934,51.93294144,48.3519783,46.96282959,47.52978134,48.30105972,46.24111938,49.99824142,51.63769531,52.4313736,55.20996857,60.16874313,..,65.62918854
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Belgium,BEL,144.8762817,153.801239,155.9069672,158.6302795,153.4053345,159.8901367,161.0192108,159.514267,158.7434082,156.6383667,156.8615265,156.6331635,157.7947693,160.9192352,162.2993469,163.9347229
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Canada,CAN,101.9231262,..,..,..,..,101.3911896,101.7282486,101.9034882,102.3444366,102.7344437,102.3984833,103.3489609,109.9874878,109.4859924,109.3330994,110.3565292
"School enrollment, secondary (% gross)",SE.SEC.ENRR,China,CHN,60.25989914,60.08422089,60.28450012,62.14112854,..,..,71.32845306,76.78765869,81.71283722,85.45140839,88.17340088,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,France,FRA,105.5902176,104.5711136,103.1863403,102.7721024,102.2200165,106.7816772,106.9275208,106.6935272,106.4328384,106.2392273,106.424942,106.6106415,105.8135834,104.3766022,103.425827,103.3960419
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Germany,DEU,99.93065643,100.5015106,101.473671,101.8206711,102.1401978,102.2795868,103.0582886,102.2422867,103.3083191,103.1582489,103.9748383,103.7624207,102.1676102,100.8108902,99.71071625,98.82263947
"School enrollment, secondary (% gross)",SE.SEC.ENRR,India,IND,44.87197876,45.15169907,47.07345963,49.62504959,51.37184906,53.96905899,54.88293839,57.27587128,60.35649109,59.61365128,63.11619949,66.2507019,69.01283264,68.75912476,74.1415329,73.8656311
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,101.5550079,101.4152069,102.1677399
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Kuwait,KWT,91.08805847,91.44888306,..,98.20832825,102.3640976,109.6014175,104.9908524,102.9927216,99.24891663,97.71626282,97.87177277,97.0526123,96.44032288,95.06651306,93.89048767,97.82772064
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Mexico,MEX,71.76502991,73.43566895,76.0056076,79.86402893,81.42749023,82.30407715,84.08560181,84.90705109,86.42752838,85.93801117,87.0699234,88.19017792,90.66719818,93.3275528,97.34338379,100.8327408
"School enrollment, secondary (% gross)",SE.SEC.ENRR,New Zealand,NZL,110.7622681,111.7271194,116.0867004,118.7744904,116.5867767,120.2476501,118.4310608,119.3534164,117.0983582,124.6602097,119.0647202,118.5048294,117.1061325,115.2617035,115.3846436,114.7460938
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Spain,ESP,110.2659988,111.7833023,111.8552399,112.1522522,113.8304367,117.3422318,117.3375473,116.3560486,115.5262909,115.0287933,119.1159515,120.9332504,122.837532,123.1873016,123.3748703,124.9606628
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Russian Federation,RUS,..,..,..,91.5080719,85.31642914,82.91107941,82.70760345,82.94989777,83.12724304,84.7716217,..,91.82772827,95.60720062,97.68347931,98.81610107,102.1796188
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Qatar,QAT,91.37918091,88.39562225,91.88368988,98.44425964,101.9828415,99.86911774,93.9704895,..,..,..,105.4657898,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,United Kingdom,GBR,101.8960114,101.7868271,102.7432785,102.0994034,104.6890411,105.4219666,98.24421692,97.19419861,98.33966064,100.1697693,102.9046783,93.76583099,91.55275726,123.7762909,126.3899002,124.5240021
"School enrollment, secondary (% gross)",SE.SEC.ENRR,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,United States,USA,..,..,..,..,..,95.0524826,..,..,..,..,..,..,..,96.18649292,96.92453766,97.65254974
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.925260007
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bangladesh,BGD,..,..,..,..,..,1.05332005,1.055780053,1.064299941,1.085389972,1.059589982,1.079146981,1.064528942,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Belgium,BEL,1.057279944,1.063420057,1.068310022,1.057520032,1.056550026,1.069919944,1.074749947,1.079810023,1.087859988,1.089609981,1.083389997,1.081900001,1.082520008,1.082190037,1.079849958,1.080549955
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Canada,CAN,1.010570049,..,..,..,..,0.984269977,0.985819995,0.985909998,0.986320019,0.987969995,0.989539981,0.992229998,1.003679991,1.006389976,1.008569956,1.00838995
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,China,CHN,..,0.964619994,..,..,..,..,0.98803997,0.991550028,0.996969998,1.003350019,0.988950014,0.992420018,0.997179985,1.006090045,1.00948,1.01157999
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,France,FRA,0.996110022,0.997730017,0.999239981,1.002419949,1.001489997,0.998440027,0.995469987,0.997829974,0.997569978,0.998329997,1.00079,1.003250003,1.00304997,1.005679965,1.006850004,1.003419995
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Germany,DEU,0.982500017,0.983269989,0.982129991,0.980069995,0.980449975,0.980390012,0.978070021,0.980080009,0.978049994,0.960330009,0.961250007,0.960009992,0.961369991,0.964460015,0.965309978,0.966109991
